Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P43772	HSLV_HAEIN	reviewed	ATP-dependent protease subunit HslV (EC 3.4.25.2)	hslV HI_0496	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	175
P44569	5NTD_HAEIN	reviewed	NAD 5'-nucleotidase (NadN) (EC 3.1.3.5)	HI_0206	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	603
P44542	SIAP_HAEIN	reviewed	Sialic acid-binding periplasmic protein SiaP (Extracytoplasmic solute receptor protein SiaP) (N-acetylneuraminic-binding protein) (Neu5Ac-binding protein)	siaP HI_0146	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	329
P43890	PYRH_HAEIN	reviewed	Uridylate kinase (UK) (EC 2.7.4.22) (Uridine monophosphate kinase) (UMP kinase) (UMPK)	pyrH smbA HI_1065	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	237
P43791	DYR_HAEIN	reviewed	Dihydrofolate reductase (EC 1.5.1.3)	folA folH HI_0899	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	160
P46362	FOLB_HAEIN	reviewed	Dihydroneopterin aldolase (DHNA) (EC 4.1.2.25) (7,8-dihydroneopterin 2'-epimerase) (7,8-dihydroneopterin aldolase) (7,8-dihydroneopterin epimerase) (EC 5.1.99.8) (Dihydroneopterin epimerase)	folB HI_0265	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	118
P44654	NAPB_HAEIN	reviewed	Periplasmic nitrate reductase, electron transfer subunit (Diheme cytochrome c NapB)	napB HI_0347	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	150
P35755	FBPA_HAEIN	reviewed	Iron-utilization periplasmic protein (Fe(3+)-binding protein) (Iron-regulated 40 kDa protein) (Major ferric iron-binding protein) (MIRP)	fbpA fbp hitA HI_0097	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	332
Q57130	MOLB_HAEIN	reviewed	Molybdate import system permease protein MolB	molB HI_1471	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	337
P44539	NANA_HAEIN	reviewed	N-acetylneuraminate lyase (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase)	nanA HI_0142	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	293
P43775	FOLC_HAEIN	reviewed	Dihydrofolate synthase/folylpolyglutamate synthase (DHFS / FPGS) (EC 6.3.2.12) (EC 6.3.2.17) (Folylpoly-gamma-glutamate synthetase-dihydrofolate synthetase) (Folylpolyglutamate synthetase) (Tetrahydrofolylpolyglutamate synthase)	folC HI_1261	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	437
P45004	DMSA_HAEIN	reviewed	Dimethyl sulfoxide reductase DmsA (DMSO reductase) (DMSOR) (Me2SO reductase) (EC 1.8.5.3)	dmsA HI_1047	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	806
P44247	Y1536_HAEIN	reviewed	Uncharacterized protein HI_1536	HI_1536	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	115
P44208	Y1479_HAEIN	reviewed	Uncharacterized protein HI_1479	HI_1479	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	90
P44211	Y1484_HAEIN	reviewed	Putative uncharacterized protein HI_1484 in Mu-like prophage FluMu region	HI_1484	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	53
P44484	Y051_HAEIN	reviewed	Putative TRAP transporter small permease protein HI_0051	HI_0051	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	165
P44515	Y103_HAEIN	reviewed	Uncharacterized protein HI_0103	HI_0103	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	114
P45197	Y1412_HAEIN	reviewed	Uncharacterized protein HI_1412	HI_1412	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	173
P44292	Y1701_HAEIN	reviewed	Uncharacterized protein HI_1701	HI_1701	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	247
P46495	Y1572_HAEIN	reviewed	Putative integrase/recombinase HI_1572	HI_1572	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	366
P44086	Y967_HAEIN	reviewed	Uncharacterized protein HI_0967	HI_0967	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	34
Q57022	Y868_HAEIN	reviewed	Uncharacterized glycosyltransferase HI_0868 (EC 2.4.-.-)	HI_0868	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	250
P44465	Y028_HAEIN	reviewed	UPF0250 protein HI_0028	HI_0028	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	92
O05087	Y1728_HAEIN	reviewed	Uncharacterized membrane protein HI_1728	HI_1728	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	397
P44656	Y354_HAEIN	reviewed	Uncharacterized ABC transporter ATP-binding protein HI_0354	HI_0354	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	240
P44761	Y575_HAEIN	reviewed	Uncharacterized protein HI_0575	HI_0575	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	221
Q57392	Y414_HAEIN	reviewed	Uncharacterized protein HI_0414	HI_0414	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	70
P44037	Y688_HAEIN	reviewed	Uncharacterized protein HI_0688	HI_0688	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	103
P71356	Y687_HAEIN	reviewed	Uncharacterized transporter HI_0687	HI_0687	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	304
P44996	Y1032_HAEIN	reviewed	Uncharacterized HTH-type transcriptional regulator HI_1032	HI_1032	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	268
P45194	Y1390_HAEIN	reviewed	Uncharacterized protein HI_1390	HI_1390	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	21
Q57007	Y1107_HAEIN	reviewed	Uncharacterized Na(+)/H(+) antiporter HI_1107	HI_1107	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	468
P44265	Y1594_HAEIN	reviewed	Uncharacterized protein HI_1594	HI_1594	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	223
P45145	Y1297_HAEIN	reviewed	UPF0299 membrane protein HI_1297	HI_1297	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	140
Q57449	Y362_HAEIN	reviewed	Uncharacterized periplasmic iron-binding protein HI_0362	HI_0362	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	293
P44661	Y360_HAEIN	reviewed	Probable iron transport system membrane protein HI_0360	HI_0360	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	282
P43994	Y395_HAEIN	reviewed	UPF0125 protein HI_0395	HI_0395	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	102
P44031	Y660_HAEIN	reviewed	Uncharacterized protein HI_0660	HI_0660	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	119
P44923	Y893_HAEIN	reviewed	Uncharacterized HTH-type transcriptional regulator HI_0893	HI_0893	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	187
P44812	ZAPB_HAEIN	reviewed	Cell division protein ZapB	zapB HI_0668	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	72
P44192	Y1421_HAEIN	reviewed	Uncharacterized protein HI_1421	HI_1421	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	92
P44166	Y1341_HAEIN	reviewed	Uncharacterized protein HI_1341	HI_1341	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	203
P44249	Y1546_HAEIN	reviewed	Uncharacterized protein HI_1546	HI_1546	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	140
P44217	Y1492_HAEIN	reviewed	Uncharacterized protein HI_1492	HI_1492	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	168
P44077	Y930_HAEIN	reviewed	Uncharacterized protein HI_0930	HI_0930	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	206
P44084	Y960_HAEIN	reviewed	Uncharacterized protein HI_0960	HI_0960	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	116
P44034	Y666_HAEIN	reviewed	Uncharacterized protein HI_0666	HI_0666	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	106
P44080	Y939_HAEIN	reviewed	Uncharacterized protein HI_0939	HI_0939	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	238
O86226	Y559A_HAEIN	reviewed	Uncharacterized protein HI_0559.1	HI_0559.1	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	115
Q57124	Y895_HAEIN	reviewed	Uncharacterized transporter HI_0895	HI_0895	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	1032
P44844	YIHI_HAEIN	reviewed	Der GTPase-activating protein YihI	yihI HI_0724	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	186
P45200	Y1430_HAEIN	reviewed	Probable NADP-dependent dehydrogenase HI_1430 (EC 1.1.1.-)	HI_1430	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	252
P44209	Y1480_HAEIN	reviewed	Uncharacterized protein HI_1480	HI_1480	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	156
P44288	Y1672_HAEIN	reviewed	Uncharacterized protein HI_1672	HI_1672	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	881
P43937	Y082_HAEIN	reviewed	Uncharacterized protein HI_0082	HI_0082	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	88
P44287	Y1671_HAEIN	reviewed	Uncharacterized protein HI_1671	HI_1671	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	416
P46490	Y198_HAEIN	reviewed	Probable membrane transporter protein HI_0198	HI_0198	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	255
P44078	Y931_HAEIN	reviewed	Uncharacterized protein HI_0931	HI_0931	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	161
P44061	Y854_HAEIN	reviewed	Probable heme oxygenase HI_0854 (EC 1.14.99.-)	HI_0854	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	253
P44059	Y843_HAEIN	reviewed	Uncharacterized protein HI_0843	HI_0843	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	45
Q57125	Y765_HAEIN	reviewed	Putative glycosyltransferase HI_0765 (EC 2.-.-.-)	HI_0765	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	282
P44747	TYRPB_HAEIN	reviewed	Tyrosine-specific transport protein 2 (Tyrosine permease 2)	tyrP-B HI_0528	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	406
P44240	VG47_HAEIN	reviewed	Mu-like prophage FluMu protein gp47	HI_1520	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	355
P45047	XYLF_HAEIN	reviewed	D-xylose-binding periplasmic protein	xylF HI_1111	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	332
P44447	Y003_HAEIN	reviewed	Putative phosphatase HI_0003 (EC 3.1.3.-)	HI_0003	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	262
O05083	Y1698_HAEIN	reviewed	Uncharacterized glycosyltransferase HI_1698 (EC 2.4.-.-)	HI_1698	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	353
P44126	Y1202_HAEIN	reviewed	UPF0115 protein HI_1202	HI_1202	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	167
P45071	Y1146_HAEIN	reviewed	Nucleotide-binding protein HI_1146	HI_1146	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	285
P44118	Y1169_HAEIN	reviewed	Uncharacterized protein HI_1169	HI_1169	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	188
P44107	Y1063_HAEIN	reviewed	Uncharacterized protein HI_1063	HI_1063	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	70
P44274	Y1621_HAEIN	reviewed	Putative metal transport protein HI_1621	HI_1621	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	206
O86223	Y221A_HAEIN	reviewed	Putative uncharacterized protein HI_0221.1	HI_0221.1	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	163
Q57152	Y1436_HAEIN	reviewed	Uncharacterized protein HI_1436	HI_1436	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	106
P44134	Y1244_HAEIN	reviewed	Uncharacterized protein HI_1244	HI_1244	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	206
P44608	Y276_HAEIN	reviewed	UPF0761 membrane protein HI_0276	HI_0276	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	269
P44726	Y467_HAEIN	reviewed	UPF0701 protein HI_0467	HI_0467	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	287
P44904	Y855_HAEIN	reviewed	UPF0597 protein HI_0855	HI_0855	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	115
P44011	Y523_HAEIN	reviewed	Putative glycosyltransferase HI_0523 (EC 2.-.-.-)	HI_0523	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	346
P44369	RL33_HAEIN	reviewed	50S ribosomal protein L33	rpmG rpl33 HI_0950	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	56
P71373	Y1208_HAEIN	reviewed	Epimerase family protein HI_1208	HI_1208	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	296
P44251	Y1552_HAEIN	reviewed	Uncharacterized protein HI_1552	HI_1552	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	215
P45103	Y1198_HAEIN	reviewed	Uncharacterized protein HI_1198	HI_1198	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	207
P44253	Y1560_HAEIN	reviewed	Uncharacterized protein HI_1560	HI_1560	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	156
P44114	Y1126_HAEIN	reviewed	Uncharacterized protein HI_1126	HI_1126	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	76
P44282	Y1651_HAEIN	reviewed	Uncharacterized protein HI_1651	HI_1651	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	92
Q57409	Y555_HAEIN	reviewed	Uncharacterized protein HI_0555	HI_0555	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	79
P44742	Y519_HAEIN	reviewed	Uncharacterized transporter HI_0519	HI_0519	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	417
P44180	Y1405_HAEIN	reviewed	Uncharacterized protein HI_1405	HI_1405	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	366
P44295	Y1717_HAEIN	reviewed	Uncharacterized protein HI_1717	HI_1717	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	32
P44210	Y1482_HAEIN	reviewed	Uncharacterized protein HI_1482	HI_1482	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	105
P44500	Y081_HAEIN	reviewed	Uncharacterized metal-dependent hydrolase HI_0081 (EC 3.1.-.-)	HI_0081	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	262
O86243	Y156A_HAEIN	reviewed	Uncharacterized protein HI_1564.1	HI_1564.1	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	59
P44168	Y1355_HAEIN	reviewed	UPF0260 protein HI_1355	HI_1355	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	154
P45252	Y1558_HAEIN	reviewed	UPF0162 protein HI_1558	HI_1558	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	267
P44659	Y358_HAEIN	reviewed	Uncharacterized protein HI_0358	HI_0358	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	215
P44886	Y827_HAEIN	reviewed	Uncharacterized acyl-CoA thioester hydrolase HI_0827 (EC 3.1.2.-)	HI_0827	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	154
P44058	Y842_HAEIN	reviewed	Uncharacterized protein HI_0842	HI_0842	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	276
Q57290	Y740_HAEIN	reviewed	Probable phosphomannomutase (PMM) (EC 5.4.2.8)	HI_0740	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	485
P44014	Y554_HAEIN	reviewed	Uncharacterized protein HI_0554	HI_0554	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	180
P45051	OPPF_HAEIN	reviewed	Oligopeptide transport ATP-binding protein OppF	oppF HI_1120	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	332
P45190	PSTA_HAEIN	reviewed	Phosphate transport system permease protein PstA	pstA HI_1381	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	282
P43855	PYRE_HAEIN	reviewed	Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10)	pyrE HI_0272	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	213
P43849	PURE_HAEIN	reviewed	N5-carboxyaminoimidazole ribonucleotide mutase (N5-CAIR mutase) (EC 5.4.99.18) (5-(carboxyamino)imidazole ribonucleotide mutase)	purE HI_1615	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	164
P44945	RECC_HAEIN	reviewed	RecBCD enzyme subunit RecC (EC 3.1.11.5) (Exonuclease V subunit RecC) (ExoV subunit RecC) (Helicase/nuclease RecBCD subunit RecC)	recC HI_0942	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	1121
P43809	RECG_HAEIN	reviewed	ATP-dependent DNA helicase RecG (EC 3.6.4.12)	recG HI_1740	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	693
P44362	RL24_HAEIN	reviewed	50S ribosomal protein L24	rplX rpl24 HI_0789	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	103
P44358	RL20_HAEIN	reviewed	50S ribosomal protein L20	rplT rpl20 HI_1320	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	117
Q57045	RPPH_HAEIN	reviewed	RNA pyrophosphohydrolase (EC 3.6.1.-) ((Di)nucleoside polyphosphate hydrolase)	rppH nudH HI_0901	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	196
P45297	TLDD_HAEIN	reviewed	Metalloprotease TldD homolog (EC 3.4.-.-)	tldD HI_1653	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	482
P44392	URE2_HAEIN	reviewed	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	ureB HI_0540	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	101
P44503	THRC_HAEIN	reviewed	Threonine synthase (TS) (EC 4.2.3.1)	thrC HI_0087	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	425
P44299	PXPB_HAEIN	reviewed	5-oxoprolinase subunit B (5-OPase subunit B) (EC 3.5.2.9) (5-oxoprolinase (ATP-hydrolyzing) subunit B)	pxpB HI_1731	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	213
P44788	RSMB_HAEIN	reviewed	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.176) (16S rRNA m5C967 methyltransferase) (rRNA (cytosine-C(5)-)-methyltransferase RsmB)	rsmB rrmB sun HI_0624	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	451
P44728	RSMG_HAEIN	reviewed	Ribosomal RNA small subunit methyltransferase G (EC 2.1.1.170) (16S rRNA 7-methylguanosine methyltransferase) (16S rRNA m7G methyltransferase)	rsmG HI_0486	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	203
P43828	SYM_HAEIN	reviewed	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG HI_1276	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	682
P43870	T2D3_HAEIN	reviewed	Type-2 restriction enzyme HindIII (R.HindIII) (EC 3.1.21.4) (Endonuclease HindIII) (Type II restriction enzyme HindIII)	hindIIIR HI_1393	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	300
P44999	T2D5_HAEIN	reviewed	Probable type-2 restriction enzyme HindVP (R.HindVP) (EC 3.1.21.4) (Endonuclease HindVP) (Type II restriction enzyme HindVP)	hindVRP HI_1040	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	334
P45285	SAPA_HAEIN	reviewed	Peptide transport periplasmic protein SapA	sapA HI_1638	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	565
P45289	SAPF_HAEIN	reviewed	Peptide transport system ATP-binding protein SapF	sapF HI_1642	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	269
P45243	SPPA_HAEIN	reviewed	Protease 4 (EC 3.4.21.-) (Endopeptidase IV) (Protease IV) (Signal peptide peptidase)	sppA HI_1541	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	615
P43817	SYD_HAEIN	reviewed	Aspartate--tRNA ligase (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)	aspS HI_0317	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	588
