FORMATTED_ID,FORMATTED_BATCH_ID,BARCODE,WELL_REF,CAS_NO,CID,SMILES,STRUCTURE_NAME,SUPPLIER,SUPPLIER_REF
CBP-0016715,CBP-0016715-01,A049,B04,6640-24-0,1355,Clc1cccc(c1)N1CCNCC1,1-(3-Chlorophenyl)piperazine,Lopac_Sigma,40593_LOPAC_Sigma_C 5554
CBP-0016731,CBP-0016731-01,A049,B05,192384-87-5,3038495,COc1ccccc1N1CCN(CCCCNC(=O)c2ccc3ccccc3c2)CC1,BP 897,Lopac_Sigma,40609_LOPAC_Sigma_B 9308
CBP-0016746,CBP-0016746-01,A049,B06,41354-29-4,2913,CN1CCC(=C2c3ccccc3C=Cc3ccccc32)CC1,CYPROHEPTADINE,Lopac_Sigma,40625_LOPAC_Sigma_C 6022
CBP-0016762,CBP-0016762-01,A049,B07,34841-39-9,444,CC(NC(C)(C)C)C(=O)c1cccc(c1)Cl,bupropion,Lopac_Sigma,40641_LOPAC_Sigma_B-102
CBP-0016778,CBP-0016778-01,A049,B08,193979-75-8,6603782,CCCN(CCC)C(=O)Cc1c(nc2c(cc(cn12)Cl)Cl)-c1ccc(cc1)Cl,CB 34,Lopac_Sigma,40657_LOPAC_Sigma_C 6862
CBP-0016793,CBP-0016793-01,A049,B09, ,2457,C1CN=C(N1)c1ccc2ccccc2n1,BU 224,Lopac_Sigma,40673_LOPAC_Sigma_B-154
CBP-0016807,CBP-0016807-01,A049,B10,80558-50-5,2545,CC12C3CCC(O3)C2(C)C(=O)OC1=O,DHZBEENLJMYSHQ-UHFFFAOYSA-N,Lopac_Sigma,40689_LOPAC_Sigma_C 7632
CBP-0016822,CBP-0016822-01,A049,B11,52214-84-3,2763,CC(C)(Oc1ccc(cc1)C1CC1(Cl)Cl)C(=O)O,Ciprofibrate,Lopac_Sigma,40705_LOPAC_Sigma_C 0330
CBP-0000437,CBP-0000437-02,A049,B12,34468-21-8,2726,CN(C)CCCN1c2ccccc2Sc2ccc(cc21)Cl,chlorpromazine,Lopac_Sigma,40721_LOPAC_Sigma_C 8138
CBP-0016852,CBP-0016852-01,A049,B13,28-99-9,5024764,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)CC(C)(C)CO,CGP-7930,Lopac_Sigma,40737_LOPAC_Sigma_C 0862
CBP-0016867,CBP-0016867-01,A049,B14,51-68-3,4039,CN(C)CCOC(=O)COc1ccc(cc1)Cl,meclofenoxate,Lopac_Sigma,40753_LOPAC_Sigma_C 8773
CBP-0016883,CBP-0016883-01,A049,B15, ,11957472,CN(C)CC/C=C\1/c2ccccc2Sc2cc(ccc21)Cl,Lopac0_000170,Lopac_Sigma,40769_LOPAC_Sigma_C 1671
CBP-0016898,CBP-0016898-01,A049,B16,2259-96-3,2910,NS(=O)(=O)c1cc2c(cc1Cl)NC(NS2(=O)=O)C1CC2CC1C=C2,cyclothiazide,Lopac_Sigma,40785_LOPAC_Sigma_C 9847
CBP-0016914,CBP-0016914-01,A049,B17,478-03-5,2703,COc1ccc2c(c[n+](c3c4cc5c(cc4ccc23)OCO5)C)c1OC,chelerythrine,Lopac_Sigma,40801_LOPAC_Sigma_C 2932
CBP-0016930,CBP-0016930-01,A049,B18,126947-96-4,1228,OC(=O)C1CN(CCCP(=O)(O)O)CCN1,100828-16-8,Lopac_Sigma,40817_LOPAC_Sigma_C-104
CBP-0016945,CBP-0016945-01,A049,B19,59865-13-3,5280754,CCC1NC(=O)C(C(O)C(C)C/C=C/C)N(C)C(=O)C(C(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(CC(C)C)N(C)C(=O)C(C)NC(=O)C(C)NC(=O)C(CC(C)C)N(C)C(=O)C(NC(=O)C(CC(C)C)N(C)C(=O)CN(C)C1=O)C(C)C,cyclosporin A,Lopac_Sigma,40833_LOPAC_Sigma_C 3662
CBP-0016959,CBP-0016959-01,A049,B20, ,11957502,CCNC(=O)[C@H]1O[C@H](C(O)[C@H]1O)n1cnc2c(nc(nc12)NCCc1ccc(cc1)CCC(=O)O)N,Lopac0_000323,Lopac_Sigma,40849_LOPAC_Sigma_C-141
CBP-0016975,CBP-0016975-01,A049,B21,462-58-8,2551,C[N+](C)(C)CCOC(=O)N,Carbamylcholine,Lopac_Sigma,40865_LOPAC_Sigma_C 4382
CBP-0016991,CBP-0016991-01,A049,B22,104615-18-1,2690,Nc1nc2ccc(cc2c2nc(nn12)-c1ccco1)Cl,Cgs 15943,Lopac_Sigma,40881_LOPAC_Sigma_C-199
CBP-0016669,CBP-0016669-01,A049,C01,91-40-7,4386,OC(=O)c1ccccc1Nc1ccccc1,N-phenylanthranilic acid,Lopac_Sigma,40546_LOPAC_Sigma_144509
CBP-0016685,CBP-0016685-01,A049,C02,252930-37-3,4615193,CC(C)(C)c1onc(c1CC(N)C(=O)O)OCP(=O)(O)O,ATPO,Lopac_Sigma,40562_LOPAC_Sigma_A 7845
CBP-0016701,CBP-0016701-01,A049,C03, ,11957440,Nc1nc(c2ncn(c2n1)[C@@H]1O[C@H](CO)[C@H](O)C1O)SCc1ccc(cc1)[N+](=O)[O-],S-(4-Nitrobenzyl)-6-thioguanosine,Lopac_Sigma,40578_LOPAC_Sigma_861669
CBP-0016716,CBP-0016716-01,A049,C04,2494-12-4,100526,CC(=O)NCCc1ccc(c(c1)O)O,N-Acetyldopamine,Lopac_Sigma,40594_LOPAC_Sigma_A 8762
CBP-0016732,CBP-0016732-01,A049,C05,82657-22-5,5680,NCCCCNS(=O)(=O)c1cccc2c(cccc12)Cl,CHEMBL250517,Lopac_Sigma,40610_LOPAC_Sigma_A 0666
CBP-0016747,CBP-0016747-01,A049,C06,66197-73-7,439260,NC[C@H](O)c1ccc(c(c1)O)O,norepinephrine,Lopac_Sigma,40626_LOPAC_Sigma_A 9512
CBP-0016763,CBP-0016763-01,A049,C07,56645-32-0,2153,CN1C(=O)N(C)c2nc[nH]c2C1=O,theophylline,Lopac_Sigma,40642_LOPAC_Sigma_A 1755
CBP-0016779,CBP-0016779-01,A049,C08,331717-43-2,72440,CN(Cc1cnc2nc(nc(c2n1)N)N)c1ccc(cc1)C(=O)N[C@H](CCC(=O)O)C(=O)O,D-Amethopterin,Lopac_Sigma,40658_LOPAC_Sigma_A 9898
CBP-0016794,CBP-0016794-01,A049,C09,73971-82-1,451515,CC1=CN([C@H]2C[C@@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O,AZT (threo),Lopac_Sigma,40674_LOPAC_Sigma_A 2169
CBP-0016808,CBP-0016808-01,A049,C10, ,23789715,NCCNC(=O)Cc1ccc(cc1)NC(=O)Cc1ccc(cc1)Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@H](O)C1O,Lopac0_000096,Lopac_Sigma,40690_LOPAC_Sigma_A-111
CBP-0016823,CBP-0016823-01,A049,C11,6692-13-3,5236783,Clc1ccc(cc1Cl)CC(=O)OCCN1CCCC1,UNII-ZT6K8RIG8N,Lopac_Sigma,40706_LOPAC_Sigma_A 3595
CBP-0016838,CBP-0016838-01,A049,C12,27-84-9,104766,N[C@]1(CC[C@H](C1)C(=O)O)C(=O)O,"(1S,3R)-1-aminocyclopentane-1,3-dicarboxylic acid",Lopac_Sigma,40722_LOPAC_Sigma_A-155
CBP-0016853,CBP-0016853-01,A049,C13,2235-97-4,1793,CN(C)c1nc(c(nc1Cl)C(=O)N=C(N)N)N,5-dimethylamiloride,Lopac_Sigma,40738_LOPAC_Sigma_A 4562
CBP-0016868,CBP-0016868-01,A049,C14,127729-35-5,5230,CP(=O)(O)CCCN,3-Apmpa,Lopac_Sigma,40754_LOPAC_Sigma_A-196
CBP-0016884,CBP-0016884-01,A049,C15,79055-67-7,1216,NC(CCCP(=O)(O)O)C(=O)O,76326-31-3,Lopac_Sigma,40770_LOPAC_Sigma_A 5282
CBP-0016899,CBP-0016899-01,A049,C16,121050-03-1,6604769,OC(=O)[C@@H]1C[C@H](N1)C(=O)O,"trans-Azetidine-2,4-dicarboxylic acid",Lopac_Sigma,40786_LOPAC_Sigma_A-244
CBP-0016915,CBP-0016915-01,A049,C17, ,11957443,C[C@H](CCC(=O)NCCS(=O)(=O)O[Na])C1CCC2C3[C@H](O)CC4C[C@H](O)CCC4(C)C3C[C@H](O)C12C,sodium taurocholate,Lopac_Sigma,40802_LOPAC_Sigma_T 9034
CBP-0016931,CBP-0016931-01,A049,C18,174635-69-9,6604009,CC[C@H](NC(=O)c1c(c(nc2ccccc12)-c1ccccc1)C)c1ccccc1,SB 222200,Lopac_Sigma,40818_LOPAC_Sigma_S 5192
CBP-0016946,CBP-0016946-01,A049,C19,70359-39-6,126941,CN(Cc1cnc2nc(nc(c2n1)N)N)c1ccc(cc1)C(=O)N[C@@H](CCC(=O)O)C(=O)O,methotrexate,Lopac_Sigma,40834_LOPAC_Sigma_A 6770
CBP-0016960,CBP-0016960-01,A049,C20,25614-03-3,31101,CC(C)C[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c([nH]c6cccc(c56)C4=C3)Br)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C,bromocriptine,Lopac_Sigma,40850_LOPAC_Sigma_B 2134
CBP-0016976,CBP-0016976-01,A049,C21,626-71-1,92136,N[C@@H](CCCC(=O)O)C(=O)O,L-2-Aminoadipic acid,Lopac_Sigma,40866_LOPAC_Sigma_A 7275
CBP-0016992,CBP-0016992-01,A049,C22, ,248,C[N+](C)(C)CC(=O)O,TRIMETHYL GLYCINE,Lopac_Sigma,40882_LOPAC_Sigma_B 3501
CBP-0016670,CBP-0016670-01,A049,D01, , ,Oc1ccc(cc1)-c1nc(c([nH]1)-c1ccc(cc1)F)-c1ccncc1, ,Lopac_Sigma,40547_LOPAC_Sigma_S 7067
CBP-0016686,CBP-0016686-01,A049,D02,58-94-6,2720,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,chlorothiazide,Lopac_Sigma,40563_LOPAC_Sigma_C 4911
CBP-0016702,CBP-0016702-01,A049,D03,51372-29-3,5281004,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,budesonide,Lopac_Sigma,40579_LOPAC_Sigma_B 7777
CBP-0016717,CBP-0016717-01,A049,D04,152239-46-8,3277600,Cc1cc(sn1)NC(=O)Nc1ccc2n(ccc2c1)C,SB 204741,Lopac_Sigma,40595_LOPAC_Sigma_S 0693
CBP-0016733,CBP-0016733-01,A049,D05,69304-47-8,446727,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(/C=C/Br)C(=O)NC1=O,Brivudine,Lopac_Sigma,40611_LOPAC_Sigma_B 9647
CBP-0016748,CBP-0016748-01,A049,D06, ,11957488,Nc1ncnc2n(cnc12)[C@@H]1O[C@@H]([C@H](O)C1O)C(=O)NC1CC1,5'-(N-Cyclopropyl)carboxamidoadenosine,Lopac_Sigma,40627_LOPAC_Sigma_C 6042
CBP-0016764,CBP-0016764-01,A049,D07, ,104872,C[N+]1(C)CCc2cc3c(cc2[C@H]1[C@@H]1OC(=O)c2c1ccc1c2OCO1)OCO3,MLS001148459,Lopac_Sigma,40643_LOPAC_Sigma_B-103
CBP-0016780,CBP-0016780-01,A049,D08,64753-81-7,40958,NC(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(=O)O)Cl)c1ccccc1,64753-81-7,Lopac_Sigma,40659_LOPAC_Sigma_C 6895
CBP-0016795,CBP-0016795-01,A049,D09,36067-73-9,2277,CCN1CCc2nc(oc2CC1)N,Azepexole,Lopac_Sigma,40675_LOPAC_Sigma_B-161
CBP-0016809,CBP-0016809-01,A049,D10,59729-33-8,2771,CN(C)CCCC1(OCc2cc(ccc21)C#N)c1ccc(cc1)F,citalopram,Lopac_Sigma,40691_LOPAC_Sigma_C 7861
CBP-0016824,CBP-0016824-01,A049,D11,63762-74-3,1858,COc1cc2c(c[nH]c2cc1Cl)CCNC(=O)C,6-CHLOROMELATONIN,Lopac_Sigma,40707_LOPAC_Sigma_C 0331
CBP-0016839,CBP-0016839-01,A049,D12,62587-73-9,24776146,NC(=O)c1cc[n+](cc1)CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@@H](c1ccccc1)S(=O)(=O)[O-])C2=O)C(=O)[O-],cefsulodin,Lopac_Sigma,40723_LOPAC_Sigma_C 8145
CBP-0016854,CBP-0016854-01,A049,D13,56189-68-5,3519541,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)CC(C)(C)C=O,CGP-13501,Lopac_Sigma,40739_LOPAC_Sigma_C 0987
CBP-0016869,CBP-0016869-01,A049,D14,7723-51-5,2781,CN1CCCC1CCOC(C)(c1ccccc1)c1ccc(cc1)Cl,Clemastinum,Lopac_Sigma,40755_LOPAC_Sigma_C 8903
CBP-0016885,CBP-0016885-01,A049,D15,139741-81-4,305,C[N+](C)(C)CCO,choline,Lopac_Sigma,40771_LOPAC_Sigma_C 1754
CBP-0016900,CBP-0016900-01,A049,D16,36396-99-3,9841284,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(ncnc12)NC1CCCCC1,N6-Cyclohexyladenosine,Lopac_Sigma,40787_LOPAC_Sigma_C 9901
CBP-0016916,CBP-0016916-01,A049,D17,53-19-0,4211,ClC(Cl)C(c1ccc(cc1)Cl)c1ccccc1Cl,mitotane,Lopac_Sigma,40803_LOPAC_Sigma_C 3010
CBP-0016932,CBP-0016932-01,A049,D18,109028-10-6,2689,CN1CCN(CC1)c1nc2cc(ccc2n2cccc12)C(F)(F)F,CGS 12066B,Lopac_Sigma,40819_LOPAC_Sigma_C-106
CBP-0016947,CBP-0016947-01,A049,D19,68-41-7,6234,C1ONC(=O)[C@@H]1N,D-cycloserine,Lopac_Sigma,40835_LOPAC_Sigma_C 3909
CBP-0016961,CBP-0016961-01,A049,D20, , ,CC(N)C1CCC(CC1)C(=O)Nc1ccncc1, ,Lopac_Sigma,40851_LOPAC_Sigma_Y 0503
CBP-0016977,CBP-0016977-01,A049,D21,32850-84-3,2733,Clc1ccc2c(c1)NC(=O)O2,chlorzoxazone,Lopac_Sigma,40867_LOPAC_Sigma_C 4397
CBP-0016993,CBP-0016993-01,A049,D22, ,11957504,OCC1O[C@H](O)C(Cl)C(O)C1O,2-Chloro-DG,Lopac_Sigma,40883_LOPAC_Sigma_C-203
CBP-0016671,CBP-0016671-01,A049,E01,56943-06-7,688042,Brc1ccc(cc1)[C@H]1CN2CCSC2=N1,AC1LEL7H,Lopac_Sigma,40548_LOPAC_Sigma_190047
CBP-0016687,CBP-0016687-01,A049,E02,39464-14-7,2094,Oc1ncnc2[nH]ncc12,allopurinol,Lopac_Sigma,40564_LOPAC_Sigma_A 8003
CBP-0016703,CBP-0016703-01,A049,E03,57818-92-5,5494,CCN(CC)CCCCCCCCOC(=O)c1cc(c(c(c1)OC)OC)OC,TMB-8,Lopac_Sigma,40580_LOPAC_Sigma_861804
CBP-0016718,CBP-0016718-01,A049,E04, , , , ,Lopac_Sigma,40596_LOPAC_Sigma_A 8835
CBP-0016734,CBP-0016734-01,A049,E05,2133-34-8,16486,OC(=O)[C@@H]1CCN1,2133-34-8,Lopac_Sigma,40612_LOPAC_Sigma_A 0760
CBP-0016749,CBP-0016749-01,A049,E06,1428-95-1,1794,NC(=NC(=O)c1nc(c(nc1N)N1CCCCCC1)Cl)N,"5-(N,N-Hexamethylene)amiloride",Lopac_Sigma,40628_LOPAC_Sigma_A 9561
CBP-0016765,CBP-0016765-01,A049,E07,73322-71-1,443120,N[C@@H](CCC(=O)N[C@@H](CSCC(=O)c1ccc(cc1)N=[N+]=[N-])C(=O)NCC(=O)O)C(=O)O,S-(p-Azidophenacyl)glutathione,Lopac_Sigma,40644_LOPAC_Sigma_A 1782
CBP-0016781,CBP-0016781-01,A049,E08,371974-08-2,6603723,C(N(Cc1ncc[nH]1)c1ccccc1)c1ccccc1,2-(N-PHENYL-N-BENZYL-AMINOMETHYL)-IMIDAZOL,Lopac_Sigma,40660_LOPAC_Sigma_A 9899
CBP-0016796,CBP-0016796-01,A049,E09,55-92-5,1993,CC(C[N+](C)(C)C)OC(=O)C,methacholine,Lopac_Sigma,40676_LOPAC_Sigma_A 2251
CBP-0016825,CBP-0016825-01,A049,E11,80809-81-0,1967,CC1=C(C)C(=O)C(=C(C)C1=O)CCCCC#CCCCC#CCO,aa-861,Lopac_Sigma,40708_LOPAC_Sigma_A 3711
CBP-0016855,CBP-0016855-01,A049,E13,446-86-6,2265,Cn1cnc(c1Sc1ncnc2nc[nH]c12)[N+](=O)[O-],azathioprine,Lopac_Sigma,40740_LOPAC_Sigma_A 4638
CBP-0016870,CBP-0016870-01,A049,E14,55199-25-2,6603697,NC/C=C\C(=O)O,cis-4-Aminocrotonic acid,Lopac_Sigma,40756_LOPAC_Sigma_A-201
CBP-0016886,CBP-0016886-01,A049,E15,148451-96-1,132837,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)OCc1cc(cc(c1)C(F)(F)F)C(F)(F)F,"L-732,138",Lopac_Sigma,40772_LOPAC_Sigma_A 5330
CBP-0016901,CBP-0016901-01,A049,E16, ,2068,CC(C)C1C2CCC(C2)C1N,CHEMBL430112,Lopac_Sigma,40788_LOPAC_Sigma_A-252
CBP-0016917,CBP-0016917-01,A049,E17,53028-04-9,2141,NCCCNCCSP(=O)(O)O,amifostine,Lopac_Sigma,40804_LOPAC_Sigma_A 5922
CBP-0016933,CBP-0016933-01,A049,E18,1601-19-0,4177957,COc1ccc2n(c(c(c2c1)CC(=O)O)C)C(=O)c1ccccc1,1-Benzoyl-5-methoxy-2-methylindole-3-acetic acid,Lopac_Sigma,40820_LOPAC_Sigma_B 1183
CBP-0001493,CBP-0001493-03,A049,E19, , , , ,Lopac_Sigma,40836_LOPAC_Sigma_A 6883
CBP-0016962,CBP-0016962-01,A049,E20,1000874-21-4,4578,Nc1nc(c2nc[nH]c2n1)OCc1ccccc1,o6-benzylguanine,Lopac_Sigma,40852_LOPAC_Sigma_B 2292
CBP-0016978,CBP-0016978-01,A049,E21,374572-55-1,70547,CC(=O)NCCc1c[nH]c2ccccc12,N-Acetyltryptamine,Lopac_Sigma,40868_LOPAC_Sigma_A 7342
CBP-0016994,CBP-0016994-01,A049,E22,7418-61-3,249,C[N+](C)(C)CC=O,betaine aldehyde,Lopac_Sigma,40884_LOPAC_Sigma_B 3650
CBP-0016672,CBP-0016672-01,A049,F01,336608-38-9,5353432,CC(C)(C)c1ccc(cc1)S(=O)(=O)/C=C/C#N,bay 11-7085,Lopac_Sigma,40549_LOPAC_Sigma_B 5681
CBP-0016688,CBP-0016688-01,A049,F02,25523-97-1,33036,CN(C)CC[C@@H](c1ccc(cc1)Cl)c1ccccn1,DEXCHLORPHENIRAMINE,Lopac_Sigma,40565_LOPAC_Sigma_C 4915
CBP-0016704,CBP-0016704-01,A049,F03, ,25085166,Nc1ncnc2n(c(nc12)Br)C1OC2CO[P@@](=O)([O-])O[C@@H]2C1O,CCG-204279,Lopac_Sigma,40581_LOPAC_Sigma_B 7880
CBP-0016719,CBP-0016719-01,A049,F04, ,24867842,CO/N=C(\C(=O)N[C@H]1C2SCC(=C(N2C1=O)C(=O)[O-])CSC1=NC(=O)C(=NN1C)[O-])c1csc(n1)N,CEFTRIAXONE SODIUM,Lopac_Sigma,40597_LOPAC_Sigma_C 5793
CBP-0016735,CBP-0016735-01,A049,F05,193611-72-2,3654103,OC(CN1CCN(CC1)c1cccc(c1)Cl)C(c1ccccc1)c1ccccc1,BRL15572,Lopac_Sigma,40613_LOPAC_Sigma_B 9929
CBP-0016750,CBP-0016750-01,A049,F06, ,475318,CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(=C(N2C1=O)C(=O)[O-])CSc1nnnn1C,cefmetazole(1-),Lopac_Sigma,40629_LOPAC_Sigma_C 6048
CBP-0016766,CBP-0016766-01,A049,F07,71145-03-4,2303,COC(=O)C1=C(C)NC(=C(C1c1ccccc1C(F)(F)F)[N+](=O)[O-])C,71145-03-4,Lopac_Sigma,40645_LOPAC_Sigma_B-112
CBP-0016782,CBP-0016782-01,A049,F08,68-39-3,401,C1ONC(=O)C1N,DL-Cycloserine,Lopac_Sigma,40661_LOPAC_Sigma_C 7005
CBP-0016797,CBP-0016797-01,A049,F09,56245-67-1,37459,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,(+)-Butaclamol,Lopac_Sigma,40677_LOPAC_Sigma_B-168
CBP-0016810,CBP-0016810-01,A049,F10,57066-25-8,2803,Clc1cccc(c1N=C1NCCN1)Cl,clonidine,Lopac_Sigma,40693_LOPAC_Sigma_C 7897
CBP-0016826,CBP-0016826-01,A049,F11,1191292-23-5,2578,ClCCNC(=O)N(CCCl)N=O,carmustine,Lopac_Sigma,40709_LOPAC_Sigma_C 0400
CBP-0016840,CBP-0016840-01,A049,F12,100981-80-4,5281787,Oc1ccc(cc1O)/C=C/C(=O)OCCc1ccccc1,Caffeic acid phenethyl ester,Lopac_Sigma,40725_LOPAC_Sigma_C 8221
CBP-0016856,CBP-0016856-01,A049,F13,83002-04-4,104895,CCCCCCC(C)(C)c1ccc(c(c1)O)[C@@H]1C[C@H](O)CC[C@H]1CCCO,CP55940,Lopac_Sigma,40741_LOPAC_Sigma_C 1112
CBP-0016871,CBP-0016871-01,A049,F14,2731-73-9,439772,N[C@@H](CCl)C(=O)O,3-Chloro-L-alanine,Lopac_Sigma,40757_LOPAC_Sigma_C 9033
CBP-0016902,CBP-0016902-01,A049,F16,7689-03-4,24360,CC[C@@]1(O)C(=O)OCC2=C1C=C1N(Cc3cc4ccccc4nc31)C2=O,camptothecin,Lopac_Sigma,40789_LOPAC_Sigma_C 9911
CBP-0016918,CBP-0016918-01,A049,F17,46970-45-0,2725,CN(C)CCC(c1ccc(cc1)Cl)c1ccccn1,chlorpheniramine,Lopac_Sigma,40805_LOPAC_Sigma_C 3025
CBP-0016934,CBP-0016934-01,A049,F18,57230-13-4,1551,NCC(O)C1CCCCCCC1,2-Cyclooctyl-2-hydroxyethylamine,Lopac_Sigma,40821_LOPAC_Sigma_C-108
