Name	SMILES
acesulfame-potassium	CC1=CC(=O)NS(=O)(=O)O1, CC1=CC(=O)NS(=O)(=O)O1, CC1=CC(=O)NS(=O)(=O)O1
acetanilide	CC(=O)Nc1ccccc1, CC(=O)Nc1ccccc1
acetarsol	CC(=O)Nc1cc(ccc1O)[As](O)(O)=O, CC(=O)Nc1cc(ccc1O)[As](O)(O)=O
acetazolamide	CC(=O)Nc1nnc(s1)S(N)(=O)=O
acetohexamide	CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1, CC(=O)c1ccc(cc1)S(=O)(=O)NC(=O)NC1CCCCC1
acetohydroxamic-acid	CC(=O)NO
acetophenazine	CC(=O)c1ccc2Sc3ccccc3N(CCCN3CCN(CCO)CC3)c2c1
acetriazoic-acid	CC(=O)Nc1c(I)cc(I)c(C(O)=O)c1I, CC(=O)Nc1c(I)cc(I)c(C(O)=O)c1I
acetyl-farnesyl-cysteine	CC(=O)N[C@@H](CSC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C(O)=O, CC(=O)N[C@@H](CSC\C=C(/C)CC\C=C(/C)CCC=C(C)C)C(O)=O
acetyl-l-leucine	CC(C)C[C@H](NC(C)=O)C(O)=O
acetyl-11-keto-beta-boswellic-acid	C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC(=O)C4[C@@]5(C)CC[C@@H](OC(C)=O)[C@@](C)(C5CC[C@@]34C)C(O)=O)[C@@H]2[C@H]1C
acetylcholine	CC(=O)OCC[N+](C)(C)C, CC(=O)OCC[N+](C)(C)C
acetylcysteine	CC(=O)N[C@@H](CS)C(O)=O, CC(=O)N[C@@H](CS)C(O)=O, CC(=O)N[C@@H](CS)C(O)=O
acetylsalicylsalicylic-acid	CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(O)=O
acexamic-acid	CC(=O)NCCCCCC(O)=O
acifran	CC1(OC(=CC1=O)C(O)=O)c1ccccc1, CC1(OC(=CC1=O)C(O)=O)c1ccccc1
acipimox	Cc1cnc(c[n+]1[O-])C(O)=O, Cc1cnc(c[n+]1[O-])C(O)=O, Cc1cnc(c[n+]1[O-])C(O)=O
acitazanolast	OC(=O)C(=O)Nc1cccc(c1)-c1nnn[nH]1, OC(=O)C(=O)Nc1cccc(c1)-c1nnn[nH]1
acitretin	COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C, COc1cc(C)c(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)c(C)c1C
acivicin	N[C@H]([C@@H]1CC(Cl)=NO1)C(O)=O
aclarubicin	CCC1(O)CC(OC2CC(C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)N(C)C)c2c(cc3C(=O)c4cccc(O)c4C(=O)c3c2O)C1C(=O)OC, CCC1(O)CC(OC2CC(C(OC3CC(O)C(OC4CCC(=O)C(C)O4)C(C)O3)C(C)O2)N(C)C)c2c(cc3C(=O)c4cccc(O)c4C(=O)c3c2O)C1C(=O)OC
aclidinium	OC(C(=O)O[C@H]1C[N+]2(CCCOc3ccccc3)CCC1CC2)(c1cccs1)c1cccs1
ACPC	NC1(CC1)C(O)=O
acriflavine	Nc1ccc2cc3ccc(N)cc3nc2c1.C[n+]1c2cc(N)ccc2cc2ccc(N)cc12
acriflavinium	C[n+]1c2cc(N)ccc2cc2ccc(N)cc12
acrisorcin	CCCCCCc1ccc(O)cc1O.Nc1c2ccccc2nc2ccccc12
acrivastine	Cc1ccc(cc1)C(=C/CN1CCCC1)\c1cccc(\C=C\C(O)=O)n1
acrylate	[Na].OC(=O)C=C
ACT-132577	NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1, NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1, NS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1
ACT-462206	COc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cc(C)cc(C)c1, COc1ccc(cc1)S(=O)(=O)N1CCC[C@H]1C(=O)Nc1cc(C)cc(C)c1
actarit	CC(=O)Nc1ccc(CC(O)=O)cc1
ACTB-1003	COCc1c(CN2CCOCC2)n2ncnc(N)c2c1-c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)c(F)c1
actinomycin-d	CC(C)[C@@H]1NC(=O)[C@@H](NC(=O)c2ccc(C)c3oc4c(C)c(=O)c(N)c(C(=O)N[C@H]5[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]6CCCN6C(=O)[C@@H](NC5=O)C(C)C)c4nc23)[C@@H](C)OC(=O)[C@H](C(C)C)N(C)C(=O)CN(C)C(=O)[C@@H]2CCCN2C1=O, CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3oc4c(C)c(=O)c(N)c(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)c4nc23)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C2CCCN2C1=O
actinoquinol	CCOc1ccc(c2cccnc12)S(O)(=O)=O
ACY-1215	ONC(=O)CCCCCCNC(=O)c1cnc(nc1)N(c1ccccc1)c1ccccc1
acyclovir	Nc1nc2n(COCCO)cnc2c(=O)[nH]1, Nc1nc2n(COCCO)cnc2c(=O)[nH]1, Nc1nc2n(COCCO)cnc2c(=O)[nH]1, Nc1nc2n(COCCO)cnc2c(=O)[nH]1, Nc1nc2n(COCCO)cnc2c(=O)[nH]1
AC1NDSS5	CCCCCCCCCCCCCCCCCC[S+](CCC)c1ccccc1C(=O)OCC
AD-5467	CC(C)C1Oc2c(cccc2N(CC(O)=O)C1=S)C(C)C, CC(C)C1Oc2c(cccc2N(CC(O)=O)C1=S)C(C)C
adapalene	COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O, COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O, COc1ccc(cc1C12CC3CC(CC(C3)C1)C2)-c1ccc2cc(ccc2c1)C(O)=O
adaprev	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
adaptavir	C[C@@H](O)[C@H](NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](CO)NC(=O)[C@@H](C)N)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(N)=O
adarotene	OC(=O)\C=C\c1ccc(cc1)-c1ccc(O)c(c1)C12CC3CC(CC(C3)C1)C2
adatanserin	O=C(NCCN1CCN(CC1)c1ncccn1)C12CC3CC(CC(C3)C1)C2
ADD-233089	Clc1ccc(cc1)N1CC(=NC1=O)N1CCOCC1
adefovir	Nc1ncnc2n(CCOCP(O)(O)=O)cnc12, Nc1ncnc2n(CCOCP(O)(O)=O)cnc12
adefovir-dipivoxil	CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc12)OCOC(=O)C(C)(C)C, CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc12)OCOC(=O)C(C)(C)C
adelmidrol	OCCNC(=O)CCCCCCCC(=O)NCCO
ademetionine	C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12, C[S+](CC[C@H](N)C(O)=O)C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
adenine	Nc1ncnc2[nH]cnc12, Nc1ncnc2[nH]cnc12, Nc1ncnc2[nH]cnc12, Nc1ncnc2[nH]cnc12
adenosine	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O, Nc1ncnc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
adenosine-phosphate	Nc1ncnc2n(cnc12)C1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
adenosine-triphosphate	Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O, Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O, Nc1ncnc2n(cnc12)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
adiphenine	CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1, CCN(CC)CCOC(=O)C(c1ccccc1)c1ccccc1
adipic-acid	OC(=O)CCCCC(O)=O
adiporon	O=C(COc1ccc(cc1)C(=O)c1ccccc1)NC1CCN(Cc2ccccc2)CC1, O=C(COc1ccc(cc1)C(=O)c1ccccc1)NC1CCN(Cc2ccccc2)CC1, O=C(COc1ccc(cc1)C(=O)c1ccccc1)NC1CCN(Cc2ccccc2)CC1
ADL5859	CCN(CC)C(=O)c1ccc(cc1)C1=CC2(CCNCC2)Oc2cccc(O)c12, CCN(CC)C(=O)c1ccc(cc1)C1=CC2(CCNCC2)Oc2cccc(O)c12
adoprazine	Fc1ccc(cc1)-c1cncc(CN2CCN(CC2)c2cccc3OCCOc23)c1
adrafinil	ONC(=O)CS(=O)C(c1ccccc1)c1ccccc1, ONC(=O)CS(=O)C(c1ccccc1)c1ccccc1
adrenalone	CNCC(=O)c1ccc(O)c(O)c1, CNCC(=O)c1ccc(O)c(O)c1
adrenosterone	C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CCC2=O
ADX-10059	Cc1cc(C)c(N)c(n1)C#Cc1cccc(F)c1
ADX-47273	Fc1ccc(cc1)C(=O)N1CCC[C@@H](C1)c1nc(no1)-c1ccc(F)cc1
AEE788	CCN1CCN(Cc2ccc(cc2)-c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2)CC1, CCN1CCN(Cc2ccc(cc2)-c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2)CC1, CCN1CCN(Cc2ccc(cc2)-c2cc3c(N[C@H](C)c4ccccc4)ncnc3[nH]2)CC1
AEG3482	NS(=O)(=O)c1nn2cc(nc2s1)-c1ccccc1, NS(=O)(=O)c1nn2cc(nc2s1)-c1ccccc1
afalanine	CC(=O)N[C@@H](Cc1ccccc1)C(O)=O
afatinib	CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1, CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1, CN(C)C\C=C\C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1
afimoxifene	CC\C(c1ccccc1)=C(/c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1
afloqualone	Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O
AFN-1252	CN(Cc1oc2ccccc2c1C)C(=O)\C=C\C1=CNC2=NC(=O)CCC2=C1
afobazole	CCOc1ccc2[nH]c(SCCN3CCOCC3)nc2c1
AF38469	Cc1cccc(NC(=O)c2ccc(cc2C(O)=O)C(F)(F)F)n1
AG-1024	CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O
AG-14361	CN(C)Cc1ccc(cc1)-c1nc2cccc3C(=O)NCCn1c23, CN(C)Cc1ccc(cc1)-c1nc2cccc3C(=O)NCCn1c23
AG-490	Oc1ccc(cc1O)\C=C(/C#N)C(=O)NCc1ccccc1, Oc1ccc(cc1O)\C=C(/C#N)C(=O)NCc1ccccc1, Oc1ccc(cc1O)\C=C(/C#N)C(=O)NCc1ccccc1
AG-555	Oc1ccc(\C=C(/C#N)C(=O)NCCCc2ccccc2)cc1O
AG-556	Oc1ccc(\C=C(/C#N)C(=O)NCCCCc2ccccc2)cc1O
AGI-5198	Cc1nccn1CC(=O)N(C(C(=O)NC1CCCCC1)c1ccccc1C)c1cccc(F)c1
AGI-6780	FC(F)(F)c1cccc(NC(=O)Nc2cc(ccc2-c2ccsc2)S(=O)(=O)NC2CC2)c1
AGM-1470	CO[C@@H]1[C@@H](CC[C@]2(CO2)C1[C@@]1(C)O[C@@H]1CC=C(C)C)OC(=O)NC(=O)CCl
agmatine	NCCCCNC(N)=N
AGN-192403	CC(C)[C@@H]1C2CCC(C2)[C@H]1N, CC(C)[C@@H]1C2CCC(C2)[C@H]1N
AGN-194310	CCc1ccc(cc1)C1=CC(C)(C)Sc2ccc(cc12)C#Cc1ccc(cc1)C(O)=O
AGN-195183	CC1(C)CCC(C)(C)c2c(Cl)c(O)c(cc12)C(=O)Nc1cc(F)c(C(O)=O)c(F)c1
agomelatine	COc1ccc2cccc(CCNC(C)=O)c2c1
AGP-103	CCCCCCCCCCCCCCCCCCCCCC(O)=O
AH-7614	Cc1ccc(cc1)S(=O)(=O)NC1c2ccccc2Oc2ccccc12
AH11110	OC(COc1ccccc1-c1ccccc1)CC(=N)N1CCCCC1
AH6809	CC(C)Oc1ccc2c(c1)oc1ccc(cc1c2=O)C(O)=O, CC(C)Oc1ccc2c(c1)oc1ccc(cc1c2=O)C(O)=O
AI-10-49	FC(F)(F)Oc1ccc2nc([nH]c2c1)-c1ccc(OCCOCCOc2ccc(nc2)-c2nc3ccc(OC(F)(F)F)cc3[nH]2)cn1
AIM-100	C(Nc1ncnc2oc(c(-c3ccccc3)c12)-c1ccccc1)[C@@H]1CCCO1
ajmaline	CC[C@H]1C2CC3[C@@H]4N(C)c5ccccc5[C@]44C[C@@H](C2C4O)N3[C@@H]1O
AJ76-(+)	CCCN[C@@H]1CCc2c(OC)cccc2[C@@H]1C
AK-7	Brc1cccc(NC(=O)c2cccc(c2)S(=O)(=O)N2CCCCCC2)c1
AKBA	C[C@@H]1CC[C@]2(C)CC[C@]3(C)C(=CC(=O)[C@@H]4[C@@]5(C)CC[C@@H](OC(C)=O)[C@@](C)([C@@H]5CC[C@@]34C)C(O)=O)[C@@H]2[C@H]1C
aklomide	NC(=O)c1ccc(cc1Cl)[N+]([O-])=O
AL-8697	Cc1c(F)cc(cc1-c1c(F)cn2c(nnc2c1F)C(C)(C)C)C(=O)NC1CC1
alacepril	C[C@H](CSC(C)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](Cc1ccccc1)C(O)=O
alafosfalin	C[C@H](N)C(=O)N[C@@H](C)P(O)(O)=O
alagebrium	Cc1sc[n+](CC(=O)c2ccccc2)c1C
alanine	CC(N)C(O)=O
alantolactone	C[C@H]1CCC[C@]2(C)C[C@H]3OC(=O)C(=C)[C@H]3C=C12
alaproclate	CC(N)C(=O)OC(C)(C)Cc1ccc(Cl)cc1
alarelin	CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](C)NC(=O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H]1CCC(=O)N1
albendazole	CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1, CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1
albendazole-oxide	CCCS(=O)c1ccc2nc(NC(=O)OC)[nH]c2c1
albuterol	CC(C)(C)NCC(O)c1ccc(O)c(CO)c1, CC(C)(C)NCC(O)c1ccc(O)c(CO)c1
alcaftadine	CN1CCC(CC1)=C1c2ncc(C=O)n2CCc2ccccc12
alclofenac	OC(=O)Cc1ccc(OCC=C)c(Cl)c1
alclometasone-dipropionate	CCC(=O)OCC(=O)C1(OC(=O)CC)[C@H](C)C[C@H]2C3[C@H](Cl)CC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
alcuronium	OC\C=C1/C[N@+]2(CC=C)CC[C@@]34[C@@H]2C[C@@H]1\C1=C\N2C5[C@]6(CC[N@@+]7(CC=C)C\C(=C/CO)[C@H](C[C@@H]67)\C5=C\N(C31)c1ccccc41)c1ccccc21
alda-1	Clc1cccc(Cl)c1C(=O)NCc1ccc2OCOc2c1
